event_type,touch_sequence_number,vwap_slope_bucket,sample_size,p_revert,median_mfe,median_mae,p95_extension,avg_time_to_mfe
CROSS,11,moderate,19,0.42105263157894736842,19.0,41.0,19.0,
CROSS,11,steep,68,0.54411764705882352941,43.0,44.0,43.0,60.0000000000000000
CROSS,12,flat,4,0.50000000000000000000,,,,
CROSS,12,moderate,17,0.58823529411764705882,113.0,183.0,113.0,
CROSS,12,steep,65,0.41538461538461538462,,,,
CROSS,13,flat,2,0.50000000000000000000,,,,
CROSS,13,moderate,12,0.58333333333333333333,,,,
CROSS,13,steep,60,0.51666666666666666667,58.0,55.0,92.2,150.0000000000000000
CROSS,14,flat,2,0.50000000000000000000,,,,
CROSS,14,moderate,12,0.66666666666666666667,,,,
CROSS,14,steep,52,0.53846153846153846154,44.0,107.0,155.6,200.0000000000000000
CROSS,15,flat,3,0.33333333333333333333,,,,
CROSS,15,moderate,17,0.47058823529411764706,,,,
CROSS,15,steep,54,0.44444444444444444444,39.0,204.0,45.3,150.0000000000000000
CROSS,16,flat,1,0E-20,,,,
CROSS,16,moderate,17,0.58823529411764705882,,,,
CROSS,16,steep,60,0.53333333333333333333,193.0,559.5,244.3,300.0000000000000000
CROSS,17,flat,2,1.00000000000000000000,,,,
CROSS,17,moderate,15,0.53333333333333333333,,,,
CROSS,17,steep,54,0.51851851851851851852,5.0,189.0,5.0,
CROSS,18,flat,1,0E-20,,,,
CROSS,18,moderate,17,0.52941176470588235294,,,,
CROSS,18,steep,58,0.53448275862068965517,11.0,113.0,11.0,60.0000000000000000
CROSS,19,flat,5,0.40000000000000000000,,,,
CROSS,19,moderate,15,0.53333333333333333333,,,,
CROSS,19,steep,50,0.46000000000000000000,396.0,551.0,396.0,180.0000000000000000
CROSS,20,flat,4,0.50000000000000000000,,,,
CROSS,20,moderate,20,0.45000000000000000000,,,,
CROSS,20,steep,54,0.53703703703703703704,307.5,448.0,338.55,300.0000000000000000
CROSS,21,moderate,16,0.43750000000000000000,,,,
CROSS,21,steep,47,0.46808510638297872340,491.0,456.0,491.0,120.0000000000000000
CROSS,22,flat,3,0.33333333333333333333,,,,
CROSS,22,moderate,19,0.47368421052631578947,,,,
CROSS,22,steep,58,0.53448275862068965517,583.0,118.0,583.0,60.0000000000000000
CROSS,23,flat,4,0.50000000000000000000,,,,
CROSS,23,moderate,15,0.46666666666666666667,218.0,160.0,218.0,180.0000000000000000
CROSS,23,steep,46,0.47826086956521739130,77.0,221.0,131.89999999999998,180.0000000000000000
CROSS,24,flat,3,0.66666666666666666667,,,,
CROSS,24,moderate,19,0.63157894736842105263,,,,
CROSS,24,steep,48,0.39583333333333333333,42.0,7.0,42.0,300.0000000000000000
CROSS,25,flat,2,1.00000000000000000000,,,,
CROSS,25,moderate,16,0.50000000000000000000,,,,
CROSS,25,steep,49,0.48979591836734693878,72.0,484.0,90.9,210.0000000000000000
CROSS,26,flat,3,0.33333333333333333333,,,,
CROSS,26,moderate,18,0.50000000000000000000,,,,
CROSS,26,steep,48,0.43750000000000000000,45.5,155.0,84.64999999999999,120.0000000000000000
CROSS,27,flat,2,1.00000000000000000000,,,,
CROSS,27,moderate,20,0.55000000000000000000,,,,
CROSS,27,steep,48,0.52083333333333333333,117.0,-8.0,326.7,180.0000000000000000
CROSS,28,flat,2,0.50000000000000000000,,,,
CROSS,28,moderate,21,0.47619047619047619048,49.0,183.0,49.0,60.0000000000000000
CROSS,28,steep,46,0.50000000000000000000,,,,
CROSS,29,flat,3,0.66666666666666666667,,,,
CROSS,29,moderate,16,0.62500000000000000000,,,,
CROSS,29,steep,48,0.41666666666666666667,88.5,163.5,285.3499999999999,180.0000000000000000
CROSS,30,flat,1,1.00000000000000000000,,,,
CROSS,30,moderate,15,0.40000000000000000000,,,,
CROSS,30,steep,44,0.38636363636363636364,56.0,206.0,70.4,180.0000000000000000
CROSS,31,flat,3,0.66666666666666666667,,,,
CROSS,31,moderate,14,0.42857142857142857143,13.0,14.0,13.0,60.0000000000000000
CROSS,31,steep,40,0.47500000000000000000,140.0,182.5,191.4,200.0000000000000000
CROSS,32,flat,3,0.66666666666666666667,,,,
CROSS,32,moderate,13,0.53846153846153846154,22.0,11.0,22.0,300.0000000000000000
CROSS,32,steep,41,0.43902439024390243902,77.0,128.0,168.95,165.0000000000000000
CROSS,33,flat,2,0.50000000000000000000,,,,
CROSS,33,moderate,14,0.50000000000000000000,15.0,25.0,15.0,120.0000000000000000
CROSS,33,steep,34,0.44117647058823529412,55.0,63.0,63.1,280.0000000000000000
CROSS,34,flat,2,0E-20,,,,
CROSS,34,moderate,11,0.36363636363636363636,,,,
CROSS,34,steep,27,0.48148148148148148148,6.0,46.0,33.0,
CROSS,35,flat,1,0E-20,,,,
CROSS,35,moderate,10,0.50000000000000000000,256.5,76.0,476.54999999999995,90.0000000000000000
CROSS,35,steep,29,0.51724137931034482759,16.0,29.0,27.7,120.0000000000000000
CROSS,36,flat,4,0.50000000000000000000,,,,
CROSS,36,moderate,11,0.36363636363636363636,510.0,129.0,510.0,
CROSS,36,steep,27,0.51851851851851851852,42.0,53.0,81.8,105.0000000000000000
CROSS,37,flat,2,0E-20,,,,
CROSS,37,moderate,9,0.33333333333333333333,31.0,19.0,31.0,240.0000000000000000
CROSS,37,steep,23,0.52173913043478260870,96.0,55.5,255.54999999999995,210.0000000000000000
CROSS,38,flat,4,0.50000000000000000000,,,,
CROSS,38,moderate,10,0.20000000000000000000,15.0,25.0,15.0,180.0000000000000000
CROSS,38,steep,23,0.39130434782608695652,46.5,76.0,105.75,200.0000000000000000
CROSS,39,flat,3,0.33333333333333333333,,,,
CROSS,39,moderate,7,0.57142857142857142857,64.5,63.5,116.25,240.0000000000000000
CROSS,39,steep,21,0.38095238095238095238,34.5,17.0,40.35,300.0000000000000000
CROSS,40,flat,2,0E-20,,,,
CROSS,40,moderate,5,0.60000000000000000000,17.0,25.0,19.7,300.0000000000000000
CROSS,40,steep,20,0.30000000000000000000,14.0,33.5,31.849999999999994,210.0000000000000000
CROSS,41,flat,3,0.66666666666666666667,,,,
CROSS,41,moderate,5,0.20000000000000000000,29.5,102.0,47.05,240.0000000000000000
CROSS,41,steep,17,0.41176470588235294118,18.0,36.0,56.8,210.0000000000000000
CROSS,42,flat,2,0E-20,,,,
CROSS,42,moderate,4,0.25000000000000000000,,,,
CROSS,42,steep,19,0.36842105263157894737,33.0,31.0,67.8,228.0000000000000000
CROSS,43,flat,4,0.50000000000000000000,,,,
CROSS,43,moderate,6,0.50000000000000000000,27.0,13.0,27.0,300.0000000000000000
CROSS,43,steep,16,0.50000000000000000000,36.0,24.0,36.0,180.0000000000000000
CROSS,44,flat,4,0.50000000000000000000,,,,
CROSS,44,moderate,7,0.42857142857142857143,8.0,30.0,21.5,90.0000000000000000
CROSS,44,steep,16,0.43750000000000000000,5.0,55.0,5.0,60.0000000000000000
CROSS,45,flat,3,0.66666666666666666667,,,,
CROSS,45,moderate,4,0.50000000000000000000,,,,
CROSS,45,steep,13,0.30769230769230769231,34.0,31.0,35.8,120.0000000000000000
CROSS,46,flat,3,0.66666666666666666667,,,,
CROSS,46,moderate,1,0E-20,,,,
CROSS,46,steep,12,0.75000000000000000000,9.5,230.0,9.95,90.0000000000000000
CROSS,47,flat,3,0.66666666666666666667,,,,
CROSS,47,moderate,3,0.33333333333333333333,135.0,154.0,135.0,300.0000000000000000
CROSS,47,steep,14,0.57142857142857142857,13.0,39.0,842.0499999999996,140.0000000000000000
CROSS,48,flat,3,0.33333333333333333333,,,,
CROSS,48,moderate,3,0E-20,,,,
CROSS,48,steep,10,0.60000000000000000000,11.0,12.0,11.0,
CROSS,49,flat,3,0.66666666666666666667,,,,
CROSS,49,moderate,1,0E-20,,,,
CROSS,49,steep,13,0.61538461538461538462,15.0,37.0,39.99999999999999,90.0000000000000000
CROSS,50,flat,2,1.00000000000000000000,,,,
CROSS,50,moderate,2,0E-20,59.0,580.0,59.0,180.0000000000000000
CROSS,50,steep,4,0.50000000000000000000,,,,
CROSS,51,flat,2,0.50000000000000000000,,,,
CROSS,51,moderate,1,0E-20,72.0,567.0,72.0,60.0000000000000000
CROSS,51,steep,9,0.55555555555555555556,49.5,14.5,80.55,180.0000000000000000
CROSS,52,flat,3,0.66666666666666666667,,,,
CROSS,52,moderate,2,0.50000000000000000000,,,,
CROSS,52,steep,8,0.50000000000000000000,30.0,16.0,32.7,270.0000000000000000
CROSS,53,flat,3,0.66666666666666666667,,,,
CROSS,53,moderate,1,1.00000000000000000000,,,,
CROSS,53,steep,8,0.50000000000000000000,46.5,79.0,59.55,300.0000000000000000
CROSS,54,flat,2,1.00000000000000000000,,,,
CROSS,54,steep,5,0.40000000000000000000,209.0,38.5,360.2,180.0000000000000000
CROSS,55,flat,3,0.66666666666666666667,,,,
CROSS,55,steep,5,0.80000000000000000000,,,,
CROSS,56,flat,3,0.66666666666666666667,,,,
CROSS,56,moderate,1,0E-20,,,,
CROSS,56,steep,4,0.75000000000000000000,,,,
CROSS,57,flat,3,0.66666666666666666667,,,,
CROSS,57,moderate,1,0E-20,,,,
CROSS,57,steep,2,0.50000000000000000000,,,,
CROSS,58,flat,2,0.50000000000000000000,37.0,44.0,37.0,180.0000000000000000
CROSS,58,steep,1,0E-20,72.0,26.0,72.0,240.0000000000000000
CROSS,59,flat,2,0.50000000000000000000,,,,
CROSS,59,steep,3,0.66666666666666666667,40.0,14.0,40.0,120.0000000000000000
CROSS,60,flat,3,0.66666666666666666667,30.0,53.0,30.0,
CROSS,60,steep,2,0E-20,,,,
CROSS,61,flat,1,1.00000000000000000000,,,,
CROSS,61,steep,3,0.33333333333333333333,,,,
CROSS,62,flat,2,0.50000000000000000000,,,,
CROSS,62,steep,3,0.33333333333333333333,14.0,17.0,14.0,120.0000000000000000
CROSS,63,flat,2,0.50000000000000000000,,,,
CROSS,64,flat,2,0.50000000000000000000,25.0,34.0,25.0,
CROSS,64,steep,2,0.50000000000000000000,,,,
CROSS,65,flat,2,0.50000000000000000000,,,,
CROSS,65,steep,3,0.33333333333333333333,,,,
CROSS,66,flat,1,0E-20,5.0,45.0,5.0,60.0000000000000000
CROSS,66,steep,3,0.33333333333333333333,19.0,74.5,25.299999999999997,210.0000000000000000
CROSS,67,flat,1,0E-20,96.0,40.0,96.0,
CROSS,67,steep,1,1.00000000000000000000,,,,
CROSS,68,flat,1,0E-20,4.0,26.0,4.0,
CROSS,68,steep,3,0.33333333333333333333,5.0,88.0,5.0,
CROSS,69,flat,1,0E-20,17.0,13.0,17.0,300.0000000000000000
CROSS,69,steep,4,0.50000000000000000000,83.0,37.0,83.0,300.0000000000000000
CROSS,70,flat,2,0.50000000000000000000,11.0,28.0,11.0,
CROSS,70,steep,1,1.00000000000000000000,,,,
CROSS,71,flat,1,0E-20,,,,
CROSS,71,steep,2,0.50000000000000000000,21.0,26.0,21.0,
CROSS,72,flat,2,0E-20,24.0,17.0,24.0,120.0000000000000000
CROSS,72,steep,2,0.50000000000000000000,4.0,26.0,4.0,
CROSS,73,flat,1,0E-20,9.0,72.0,9.0,
CROSS,75,steep,1,0E-20,,,,
CROSS,76,flat,1,0E-20,,,,
CROSS,79,steep,1,1.00000000000000000000,,,,
CROSS,80,flat,1,0E-20,,,,
CROSS,80,steep,1,1.00000000000000000000,,,,
CROSS,81,flat,1,0E-20,,,,
CROSS,81,steep,1,1.00000000000000000000,,,,
CROSS,82,flat,1,0E-20,22.0,37.0,22.0,300.0000000000000000
CROSS,83,flat,1,0E-20,,,,
CROSS,83,steep,1,1.00000000000000000000,,,,
CROSS,84,flat,1,0E-20,35.0,12.0,35.0,300.0000000000000000
CROSS,85,flat,1,0E-20,35.0,6.0,35.0,180.0000000000000000
CROSS,87,flat,1,1.00000000000000000000,8.0,19.0,8.0,60.0000000000000000
CROSS,89,steep,1,1.00000000000000000000,,,,
CROSS,90,flat,1,1.00000000000000000000,22.0,17.0,22.0,240.0000000000000000
CROSS,90,steep,1,1.00000000000000000000,25.0,92.0,25.0,60.0000000000000000
CROSS,91,flat,1,0E-20,20.0,15.0,20.0,120.0000000000000000
CROSS,91,steep,1,0E-20,67.0,20.0,67.0,240.0000000000000000
